"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Koch Alberta","CAL","2020-12-24","CAL-674","Edmonton","852.7","34.3","1.01","3.9","10","18.4","0.44","4.67","2.39","4.33","5.48","5.92","4.86","2.86","0.15","0.6","0.23","0.89","0.25","3.18","1.76","3.37","4.41","4.9","4.11","2.46","0.16","0.61","0.23","0.9","","","","","","","","","","","","",""
"Koch Alberta","CAL","2020-08-10","CAL-655","Edmonton","854.4","34","1.01","3.8","10.1","19.1","0.34","4.62","2.31","4.21","5.32","5.73","4.77","2.59","0.15","0.56","0.22","0.88","0.2","3.15","1.7","3.27","4.28","4.74","4.03","2.22","0.16","0.57","0.22","0.89","35.4","86.6","148.5","207.9","272.5","334.5","401.8","472.1","568.1","","","",""
"Koch Alberta","CAL","2020-07-15","CAL-647","Edmonton","852.6","34.3","1.05","4.2","12","21.9","0.29","4.09","2.69","4.34","5.23","5.54","4.52","2.42","0.19","0.61","0.22","0.88","0.17","2.79","1.98","3.38","4.22","4.59","3.83","2.08","0.2","0.62","0.22","0.9","","","","","","","","","","","","",""
"Koch Alberta","CAL","2020-06-12","CAL-640","Edmonton","846","35.6","1.03","3.7","10.1","18.9","0.37","3.84","2.72","4.85","6.09","6.28","4.88","2.69","0.23","0.81","0.24","1.07","0.22","2.64","2.02","3.8","4.95","5.24","4.16","2.33","0.24","0.83","0.25","1.1","","","","","","","","","","","","",""
"Koch Alberta","CAL","2020-04-03","CAL-614","Edmonton","854.1","34","1.19","3.9","10","19.7","0.39","4.59","2.51","4.89","6.16","6.59","4.9","2.47","0.21","0.82","0.25","1.22","0.23","3.13","1.85","3.8","4.96","5.45","4.14","2.12","0.22","0.84","0.25","1.24","","","","","","","","","","","","",""
"Koch Alberta","CAL","2020-03-16","CAL-604","Edmonton","851.3","34.6","1.13","3.9","10.7","19.6","0.41","3.81","2.28","4.15","5.14","5.76","5.46","2.55","0.12","0.41","0.18","0.64","0.24","2.6","1.68","3.23","4.15","4.78","4.63","2.2","0.12","0.42","0.18","0.65","","","","","","","","","","","","",""
"Koch Alberta","CAL","2020-02-03","CAL-584","Edmonton","847.8","35.3","1.06","3.9","10.5","19.7","0.49","4.28","2.5","4.43","5.38","5.76","5.15","2.49","0.13","0.53","0.18","0.76","0.28","2.93","1.85","3.46","4.36","4.8","4.38","2.15","0.14","0.54","0.18","0.78","69.5","96","152.5","207.3","266.6","324.6","386.4","453.3","543","688.7","","",""
"Koch Alberta","CAL","2020-01-06","CAL-573","Edmonton","853.9","34.1","1.13","4.3","11.3","21.7","0.47","4.52","2.9","4.79","5.75","6.14","5.15","2.59","0.17","0.63","0.21","0.94","0.27","3.08","2.13","3.72","4.63","5.08","4.35","2.22","0.18","0.64","0.21","0.95","","","","","","","","","","","","",""
"Koch Alberta","CAL","2019-12-07","CAL-564","Edmonton","850.3","34.8","1.2","4.2","11.9","23.7","0.47","4.62","2.79","4.72","5.6","6","4.96","2.53","0.19","0.66","0.21","0.99","0.28","3.16","2.06","3.68","4.53","4.98","4.21","2.18","0.2","0.68","0.22","1.01","","","","","","","","","","","","",""
"Koch Alberta","CAL","2019-11-13","CAL-557","Edmonton","847.4","35.3","1.1","3.9","12.4","23.9","0.29","4.31","2.73","4.69","5.65","6","5.46","3.03","0.18","0.67","0.21","0.94","0.17","2.96","2.02","3.67","4.58","5","4.65","2.62","0.19","0.69","0.22","0.96","57.1","99.5","154","197.2","256.7","316.8","377.6","441.5","523.6","636.4","","",""
