"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Hardisty Light","MBL","2020-10-23","MBL-281","Hardisty","868.4","31.3","1.71","5.3","133.9","0.4","22.4","20.8","44.9","0.24","4.33","4.57","4.92","5.09","5.04","3.82","1.97","0.18","0.5","0.15","0.71","0.14","2.9","3.31","3.76","4.03","4.1","3.17","1.66","0.18","0.5","0.15","0.71","","","","","","","","","","","","",""
"Hardisty Light","MBL","2020-07-10","MBL-275","Hardisty","819.7","41","1.43","4.2","","0.46","","27.5","72.6","0.23","2.71","9.58","9.8","8.63","7.43","4.47","2.46","0.36","1.02","0.16","1.28","0.14","1.93","7.35","7.94","7.24","6.41","3.94","2.2","0.39","1.08","0.17","1.35","36.4","49.5","94.2","129","185.2","264.2","343.2","428.3","534.5","706.3","","",""
"Hardisty Light","MBL","2020-06-26","MBL-270","Hardisty","819.6","41","1.47","4.1","","0.48","","21.4","54","0.23","2.78","9.83","10.11","8.88","7.69","4.64","2.35","0.37","1.05","0.16","1.31","0.14","1.98","7.54","8.19","7.45","6.63","4.09","2.1","0.4","1.12","0.17","1.39","","","","","","","","","","","","",""
"Hardisty Light","MBL","2020-01-17","MBL-199","Hardisty","871.2","30.8","1.39","4.9","","0.35","","14.1","29.5","0.39","3.97","2.89","3.69","4.17","4.38","4.13","1.76","0.03","0.11","0.11","0.36","0.22","2.65","2.08","2.81","3.29","3.55","3.42","1.48","0.03","0.11","0.11","0.36","72.6","104.3","173","244.5","303.8","363.4","424.8","491.6","578.5","705.7","","",""
"Hardisty Light","MBL","2019-11-21","MBL-192","Hardisty","841.2","36.6","1.5","4.3","165.5","0.45","15.2","18.3","47.6","0.29","3.2","7.98","7.71","6.89","5.99","4.27","2.21","0.25","0.65","0.14","0.83","0.17","2.22","5.96","6.08","5.63","5.03","3.66","1.93","0.26","0.67","0.14","0.86","","","","","","","","","","","","",""
"Hardisty Light","MBL","2019-10-24","MBL-035","Hardisty","812.6","42.5","1.41","3.7","","0.41","","15.9","44.5","0.37","3.75","10.93","10.25","8.49","6.86","4.65","2.25","0.33","0.96","0.14","0.95","0.22","2.69","8.45","8.37","7.18","5.97","4.13","2.03","0.36","1.03","0.15","1.01","34.6","41.1","91.2","128.4","196.4","276.7","355.6","442.1","554.7","","","",""
"Hardisty Light","MBL","2019-09-13","MBL-014","Hardisty","818.8","41.2","1.32","3.5","","0.33","","13.2","33.1","0.31","2.92","7.05","7.18","6.59","5.9","3.84","1.88","0.28","0.74","0.15","0.92","0.18","2.08","5.41","5.81","5.53","5.09","3.38","1.68","0.3","0.79","0.16","0.97","","","","","","","","","","","","",""
"Hardisty Light","MBL","2019-08-09","MBL-045","Hardisty","820.6","40.8","1.35","4.2","228.6","0.36","14.3","16.9","43.2","0.3","3.38","11.51","10.87","9.17","7.6","4.95","2.27","0.39","1.06","0.18","1.19","0.18","2.4","8.81","8.79","7.68","6.54","4.35","2.03","0.42","1.13","0.19","1.26","36.9","55","101.8","151.3","222.1","301","377.3","460","568","","","",""
"Hardisty Light","MBL","2019-03-15","MBL-140","Hardisty","868.7","31.2","1.37","4.4","","0.51","","12.8","24.4","0.36","4.09","2.58","3.95","4.7","4.85","3.48","1.95","0.03","0.18","0.14","0.51","0.21","2.74","1.86","3.01","3.72","3.94","2.89","1.65","0.03","0.18","0.14","0.51","","","","","","","","","","","","",""
"Hardisty Light","MBL","2019-02-25","MBL-009","Hardisty","861.4","32.6","1.29","4.5","263.4","0.32","18.9","12.1","22.9","0.37","3.94","2.58","3.86","4.51","4.73","4.02","2.06","0.04","0.2","0.13","0.52","0.21","2.66","1.88","2.97","3.6","3.88","3.37","1.75","0.04","0.2","0.13","0.52","","","","","","","","","","","","",""
