"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Moose Jaw Tops","MJT","2021-01-12","MJT-001","Regina","829","39","1.55","0.1","ND","1.1","0.11","6.18","3.84","5.81","5.92","7.3","6.22","3.15","0.09","0.32","0.36","0.71","0.07","4.34","2.91","4.65","4.91","6.22","5.41","2.79","0.1","0.34","0.38","0.74","63.8","128.1","169.1","196.6","267.3","311.8","345.8","375.2","404.8","436.5","467.3","571.5",""
"Moose Jaw Tops","MJT","2020-11-03","MJT-096","Regina","837.8","37.2","1.77","0.1","0.6","1.5","0.12","5.92","2.08","4.09","4.57","6.17","5.83","2.65","0.04","0.19","0.33","0.56","0.07","4.11","1.56","3.24","3.75","5.2","5.02","2.32","0.04","0.2","0.34","0.58","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2020-09-02","MJT-009","Regina","824.6","40","1.61","0.1","0.6","1.6","0.07","4.62","4.95","6.43","6.06","7.03","5.92","2.74","0.13","0.4","0.33","0.75","0.04","3.26","3.77","5.18","5.05","6.02","5.18","2.44","0.14","0.42","0.35","0.79","53.8","96.1","145","189.8","254","304.6","341.8","372.8","404.2","439","475.8","590.9",""
"Moose Jaw Tops","MJT","2020-07-07","MJT-047","Regina","813.8","42.2","1.37","0.2","1","2.3","0.1","5.45","5.29","7.3","7.01","8.05","6.57","3.08","0.16","0.5","0.37","0.92","0.06","3.9","4.08","5.95","5.92","6.98","5.82","2.77","0.17","0.53","0.4","0.98","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2020-06-05","MJT-041","Regina","829.8","38.9","1.68","0.1","0.5","1.5","0.13","6.44","2.71","5.52","6.14","8.22","7.26","3.61","0.05","0.29","0.45","0.76","0.08","4.52","2.05","4.41","5.08","6.99","6.31","3.19","0.05","0.3","0.47","0.79","61.5","124.5","160.6","183.3","234.2","321.5","362.7","392.4","419.2","449","472.1","527.7",""
"Moose Jaw Tops","MJT","2020-01-04","MJT-001","Regina","825.6","39.8","1.78","0.1","1","2.1","0.15","7.06","3.06","6.28","6.95","9.44","8.84","3.79","0.04","0.23","0.46","0.72","0.09","4.98","2.33","5.05","5.79","8.08","7.73","3.37","0.04","0.24","0.49","0.76","54.3","109.2","148.4","170.6","268.2","332.6","365.5","391.7","416.5","445.5","469.8","545",""
"Moose Jaw Tops","MJT","2019-11-06","MJT-094","Regina","821.9","40.5","1.68","0.1","0.8","1.7","0.11","6.62","3.65","7.05","7.75","10.24","9.13","3.99","0.07","0.29","0.52","0.82","0.07","4.69","2.79","5.69","6.48","8.8","8.01","3.56","0.08","0.31","0.55","0.86","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2019-09-09","MJT-009","Regina","833.4","38.1","1.81","0.1","0.6","1.5","0.12","4.36","3.65","6.65","7.06","9.16","8.02","3.28","0.07","0.29","0.45","0.8","0.07","3.04","2.75","5.29","5.82","7.77","6.94","2.89","0.07","0.3","0.47","0.83","75.1","119.6","152","178.3","290.5","340","370.7","396.9","421.6","451.6","476.6","557.6",""
"Moose Jaw Tops","MJT","2019-07-06","MJT-052","Regina","826.7","39.5","1.72","0.6","2.6","7.1","0.13","6.01","3.63","6.75","7.28","9.53","8.77","3.78","0.07","0.3","0.47","0.79","0.08","4.24","2.76","5.42","6.06","8.15","7.66","3.35","0.07","0.32","0.5","0.83","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2019-05-01","MJT-034","Regina","824.6","40","1.84","0.1","0.5","0.8","0.11","6.11","4.25","7.23","7.71","9.9","8.44","3.54","0.09","0.36","0.5","0.87","0.07","4.33","3.24","5.82","6.43","8.48","7.39","3.15","0.1","0.38","0.53","0.92","38.8","99.5","143.9","169.4","265.8","325","360.1","388.2","414.2","443.8","470.5","562",""
