"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Pembina","P","2021-01-02","P-458","Edmonton","821.2","40.7","0.26","1.4","1.7","3.2","0.63","4.65","3.45","6.21","7.48","7.13","5.3","2.84","0.22","0.75","0.23","0.98","0.38","3.3","2.64","5.02","6.26","6.13","4.66","2.54","0.24","0.8","0.24","1.03","","","","","","","","","","","","",""
"Pembina","P","2020-12-01","P-401","Edmonton","821.9","40.5","0.25","1.4","1.6","2.7","0.55","3.88","3.23","6.11","7.52","7.17","5.47","3.42","0.23","0.79","0.21","1","0.33","2.75","2.47","4.93","6.29","6.16","4.8","3.05","0.25","0.84","0.22","1.05","59.2","111.3","157.1","197.3","249.7","306.8","366.9","428.4","509.8","632.9","","",""
"Pembina","P","2020-11-01","P-357","Edmonton","822.8","40.3","0.26","1.5","1.7","2.7","0.46","3.98","2.94","5.62","7","6.77","5.34","2.96","0.23","0.74","0.21","1","0.28","2.82","2.24","4.53","5.84","5.81","4.68","2.64","0.25","0.78","0.22","1.05","","","","","","","","","","","","",""
"Pembina","P","2020-10-02","P-297","Edmonton","820","40.9","0.28","1.5","2.2","3.2","0.58","4.88","3.19","6.25","8.02","7.52","5.56","2.65","0.27","0.92","0.23","1.13","0.35","3.47","2.44","5.05","6.72","6.48","4.89","2.37","0.29","0.98","0.24","1.19","","","","","","","","","","","","",""
"Pembina","P","2020-09-02","P-241","Edmonton","809.8","43.1","0.19","1.1","1","1.8","0.51","4.62","3.86","6.82","8.25","7.75","5.66","2.88","0.27","0.9","0.2","1.2","0.31","3.32","2.99","5.58","7","6.76","5.04","2.61","0.29","0.97","0.21","1.28","34.7","68.1","123.7","169.3","222.9","282.4","344.2","411.8","491.9","607.8","709","",""
"Pembina","P","2020-08-03","P-207","Edmonton","820.7","40.8","0.25","1.6","2","3.3","0.58","4.83","3.29","6.1","7.55","7.37","5.87","2.76","0.23","0.76","0.23","1.07","0.35","3.43","2.52","4.93","6.33","6.35","5.16","2.47","0.25","0.81","0.24","1.13","","","","","","","","","","","","",""
"Pembina","P","2020-07-01","P-162","Edmonton","805.8","44","0.17","1","0.8","0.9","0.47","5.45","3.97","7.53","9.01","7.91","6.58","3.88","0.36","1.1","0.22","1.28","0.29","3.94","3.09","6.2","7.68","6.93","5.89","3.53","0.39","1.19","0.24","1.38","","","","","","","","","","","","",""
"Pembina","P","2020-04-01","P-016","Edmonton","818.7","41.2","0.23","1.3","1.6","3","0.54","3.65","3.51","5.79","6.8","6.64","6.71","3.46","0.12","0.4","0.18","0.41","0.33","2.6","2.7","4.69","5.71","5.73","5.92","3.1","0.13","0.43","0.19","0.43","","","","","","","","","","","","",""
"Pembina","P","2020-03-02","P-961","Edmonton","822.5","40.4","0.45","2","5.3","11.7","0.67","4.39","3.33","5.59","6.72","6.52","5.61","2.66","0.15","0.49","0.16","0.74","0.4","3.11","2.54","4.51","5.62","5.6","4.92","2.37","0.16","0.52","0.17","0.78","68.6","103.6","145","193.5","251.4","307.2","363.6","422.9","500.2","604.3","690.2","",""
"Pembina","P","2020-02-01","P-903","Edmonton","822.1","40.5","0.34","1.8","3.2","6.2","0.59","4.49","3.34","6.01","7.41","7.15","5.94","2.88","0.2","0.69","0.21","0.89","0.35","3.18","2.55","4.85","6.19","6.14","5.21","2.57","0.21","0.73","0.22","0.94","","","","","","","","","","","","",""
