"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"BC Light","BCL","2016-01-31","BCL-001","Kamloops","822.6","40.4","0.65","1.3","6","18","0.18","1.07","2.53","5.47","7.01","8.24","6.61","3.34","0.24","0.79","0.23","1.25","0.11","0.76","1.93","4.41","5.86","7.08","5.8","2.98","0.26","0.84","0.24","1.32","","","","","","","","","","","","",""
"BC Light","BCL","2015-09-30","BCL-009","Kamloops","825.9","39.7","0.7","1.5","5","15","0.28","1.28","2.62","5.45","6.84","8.01","7","2.76","0.23","0.71","0.22","1.1","0.17","0.9","1.99","4.38","5.69","6.85","6.11","2.45","0.25","0.75","0.23","1.15","","","","","","","","","","","","",""
"BC Light","BCL","2015-03-31","BCL-003","Kamloops","820.8","40.8","0.63","1.1","4","12","0.13","1.04","2.7","5.86","7.4","8.49","7.03","3.13","0.26","0.82","0.24","1.22","0.08","0.74","2.07","4.73","6.19","7.3","6.17","2.79","0.28","0.87","0.25","1.29","","","","","","","","","","","","",""
"BC Light","BCL","2014-11-30","BCL-011","Kamloops","817.3","41.5","0.51","0.8","2","6","0.29","1.65","3.33","6.73","7.98","8.61","6.81","2.98","0.3","0.89","0.23","1.32","0.18","1.18","2.56","5.46","6.71","7.44","6.01","2.67","0.32","0.95","0.25","1.4","68.8","104.8","150.4","192.4","237.9","287.9","338","388.3","464.8","575","719.7","",""
"BC Light","BCL","2014-09-30","BCL-009","Kamloops","819.6","41","0.54","0.6","ND","ND","0.26","1.36","2.75","5.53","6.95","7.95","6.76","2.89","0.2","0.72","0.23","1.19","0.16","0.97","2.11","4.48","5.83","6.85","5.95","2.59","0.22","0.77","0.24","1.26","69.8","93.7","139.2","187.6","236.6","286.6","337.3","398.3","468.9","582.8","","",""
"BC Light","BCL","2014-07-31","BCL-007","Kamloops","821","40.7","0.56","1","2","6","0.15","1.06","2.56","5.82","7.45","8.53","6.54","3.44","0.27","0.86","0.25","1.34","0.09","0.75","1.96","4.7","6.24","7.34","5.74","3.07","0.29","0.91","0.27","1.41","","","","","","","","","","","","",""
"BC Light","BCL","2014-05-31","BCL-005","Kamloops","821.9","40.5","0.61","1.2","4","10","0.33","1.47","2.85","5.84","7.15","8.09","6.41","3.03","0.26","0.83","0.25","1.29","0.2","1.04","2.18","4.71","5.98","6.95","5.62","2.7","0.28","0.88","0.26","1.36","","","","","","","","","","","","",""
"BC Light","BCL","2013-12-20","BCL-012","Kamloops","824.6","40","0.64","1.2","4","13","0.36","1.59","2.86","5.69","6.8","7.41","5.51","2.65","0.27","0.81","0.23","1.19","0.22","1.13","2.18","4.58","5.67","6.35","4.82","2.36","0.29","0.86","0.24","1.25","61.6","99.5","125.1","165.8","216.7","263.2","314.1","364","423","523.9","592.2","687.3",""
"BC Light","BCL","2013-11-30","BCL-011","Kamloops","821.6","40.6","0.47","0.9","2","4","0.33","1.6","2.86","5.76","6.85","7.3","5.35","2.42","0.25","0.78","0.21","1.1","0.2","1.14","2.19","4.65","5.73","6.28","4.7","2.16","0.27","0.83","0.22","1.16","","","","","","","","","","","","",""
"BC Light","BCL","2013-09-30","BCL-930","Kamloops","817.6","41.4","0.57","0.8","2","6","0.42","1.36","2.39","5.64","7.93","9.91","8.22","4.19","0.27","0.99","0.28","1.67","0.25","0.97","1.84","4.58","6.67","8.57","7.26","3.76","0.29","1.06","0.3","1.77","57.9","85.2","130.4","174.7","225.8","272.8","322.8","379.3","444.2","534.1","612.4","",""
