"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Boundary Lake","BDY","2016-08-31","BDY-008","Kamloops","841.8","36.4","0.77","2.5","10","28","0.18","1.21","2.62","5.14","6.22","7.32","6.03","2.71","0.24","0.66","0.24","1.01","0.11","0.84","1.96","4.05","5.08","6.14","5.16","2.36","0.25","0.68","0.25","1.04","","","","","","","","","","","","",""
"Boundary Lake","BDY","2016-04-28","BDY-004","Kamloops","839.1","37","0.75","2.5","11","32","0.3","1.5","2.84","5.15","6.14","7.25","6.25","2.64","0.2","0.55","0.22","0.84","0.18","1.04","2.13","4.07","5.03","6.1","5.37","2.31","0.21","0.57","0.23","0.87","","","","","","","","","","","","",""
"Boundary Lake","BDY","2016-02-29","BDY-002","Kamloops","843","36.2","0.77","2.7","10","31","0.18","1.09","2.29","4.56","5.63","6.85","6","2.54","0.21","0.55","0.23","0.83","0.11","0.76","1.71","3.59","4.59","5.74","5.13","2.21","0.22","0.57","0.24","0.85","80.6","110.5","162.1","215.5","262.5","310.1","360.5","417.3","480.5","567","629.5","708.1",""
"Boundary Lake","BDY","2015-12-31","BDY-012","Kamloops","841.1","36.6","0.76","2.5","11","31","0.35","1.45","2.57","4.77","5.85","7.07","5.7","2.89","0.22","0.64","0.24","1.02","0.21","1.01","1.92","3.76","4.78","5.94","4.89","2.52","0.23","0.66","0.25","1.05","78.8","109.4","160","214.2","260.8","309.1","360.9","420.1","487.6","584.8","662.6","",""
"Boundary Lake","BDY","2015-10-31","BDY-010","Kamloops","844","36","0.79","2.6","9","29","0.2","1.09","2.24","4.39","5.46","6.78","6.21","2.68","0.16","0.44","0.21","0.67","0.12","0.75","1.67","3.45","4.45","5.67","5.31","2.33","0.17","0.45","0.22","0.69","72.3","107.6","160.1","213.8","262.7","313.1","368.9","428.7","503.6","614.9","","",""
"Boundary Lake","BDY","2015-08-31","BDY-008","Edmonton","842.6","36.3","0.83","2.6","10","28","0.34","1.35","2.4","4.56","5.63","7.01","6.04","2.98","0.2","0.6","0.23","0.94","0.2","0.94","1.79","3.59","4.59","5.88","5.17","2.59","0.21","0.62","0.24","0.97","","","","","","","","","","","","",""
"Boundary Lake","BDY","2015-06-30","BDY-006","Kamloops","837.9","37.2","0.83","2.4","9","25","0.42","1.54","2.6","4.96","6.11","7.3","5.82","2.98","0.25","0.7","0.25","1.09","0.25","1.07","1.95","3.93","5.01","6.15","5.01","2.61","0.26","0.73","0.26","1.13","76.2","105.8","156.4","209.8","258.3","307.8","362.3","424.2","498","611.4","717.4","",""
"Boundary Lake","BDY","2014-12-31","BDY-012","Kamloops","840.9","36.6","0.98","2.4","9","26","0.45","1.43","2.38","4.64","5.85","7.05","5.84","2.83","0.22","0.66","0.24","1.03","0.26","0.99","1.78","3.66","4.78","5.92","5.01","2.47","0.23","0.68","0.25","1.06","","","","","","","","","","","","",""
"Boundary Lake","BDY","2014-10-31","BDY-010","Kamloops","844.8","35.8","1.11","2.6","13","38","0.35","1.23","2.13","4.2","5.41","6.71","5.98","2.66","0.16","0.54","0.23","0.9","0.21","0.85","1.58","3.3","4.4","5.61","5.1","2.31","0.17","0.56","0.24","0.92","","","","","","","","","","","","",""
"Boundary Lake","BDY","2014-08-31","BDY-008","Kamloops","846.4","35.5","1.1","2.4","10","28","0.3","1.16","2.12","4.31","5.44","6.64","5.66","2.78","0.19","0.57","0.22","0.88","0.18","0.8","1.57","3.38","4.42","5.54","4.82","2.41","0.2","0.59","0.23","0.9","","","","","","","","","","","","",""
"Boundary Lake","BDY","2014-04-30","BDY-004","Kamloops","842.2","36.4","1.12","2.3","10","27","0.5","1.43","2.36","4.63","5.66","6.74","5.49","2.52","0.23","0.63","0.24","0.95","0.29","0.99","1.76","3.65","4.62","5.65","4.7","2.19","0.24","0.65","0.25","0.98","","","","","","","","","","","","",""
"Boundary Lake","BDY","2013-12-20","BDY-012","Kamloops","845.9","35.6","1.42","2.6","14","40","0.37","1.36","2.43","4.76","5.69","6.47","4.93","2.41","0.24","0.67","0.22","0.97","0.22","0.94","1.8","3.73","4.62","5.4","4.2","2.09","0.25","0.69","0.23","0.99","79.2","100.5","150","199.2","250.7","299.8","349","407.3","471.9","559.7","624.2","701.8",""
"Boundary Lake","BDY","2013-10-31","BDY-010","Kamloops","848.9","35","1.46","2.6","11","29","0.27","1.04","2","4.26","5.38","6.5","5.43","2.56","0.2","0.59","0.22","0.87","0.16","0.72","1.48","3.33","4.35","5.41","4.61","2.21","0.21","0.61","0.23","0.89","","","","","","","","","","","","",""
"Boundary Lake","BDY","2013-08-31","BDY-831","Kamloops","848.4","35.1","1.17","2.6","12","34","0.2","0.86","1.78","4.16","5.84","7.78","6.87","3.54","0.2","0.67","0.27","1.13","0.12","0.59","1.32","3.25","4.73","6.48","5.84","3.06","0.21","0.69","0.28","1.16","","","","","","","","","","","","",""
"Boundary Lake","BDY","2013-06-30","BDY-630","Kamloops","844.5","35.9","1.26","2.5","10","28","0.42","1.4","2.41","4.65","5.58","6.5","5.15","2.58","0.24","0.67","0.22","0.98","0.24","0.97","1.79","3.65","4.54","5.44","4.4","2.24","0.25","0.69","0.23","1.01","67.9","99.7","151.5","206.5","255.4","306.2","359.9","420.9","494.1","602.7","691.2","",""
"Boundary Lake","BDY","2013-04-30","BDY-304","Kamloops","847.8","35.3","1.35","2.9","13","39","0.37","1.31","2.2","4.4","5.44","6.67","5.63","2.77","0.24","0.67","0.24","1.03","0.22","0.9","1.63","3.44","4.41","5.55","4.79","2.39","0.25","0.69","0.25","1.05","","","","","","","","","","","","",""
"Boundary Lake","BDY","2013-02-28","BDY-002","Kamloops","848.4","35.1","1.47","2.7","13","46","0.35","1.32","2.24","4.41","5.43","6.51","5.47","2.68","0.23","0.63","0.23","0.95","0.21","0.91","1.66","3.45","4.4","5.42","4.65","2.32","0.24","0.65","0.24","0.97","","","","","","","","","","","","",""
"Boundary Lake","BDY","2011-09-15","BDY-915","Kamloops","845.6","35.7","0.8","2.9","10","28","0","0.11","1.1","4.17","6.41","8.49","7.49","3.49","0.24","0.8","0.3","1.28","0","0.08","0.82","3.27","5.21","7.1","6.39","3.03","0.25","0.82","0.31","1.31","82.4","109.3","160.5","212.5","261.2","310.5","363.1","423.4","493.3","597.8","681.2","",""
