"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Conventional Heavy","CHV","2020-12-06","CHV-819","Superior","923.6","21.6","3.21","10.1","","1.07","","49.6","115","","0.09","2.75","5.18","4.2","3.08","2.75","1.88","0.89","0.11","0.27","0.08","0.34","0.05","1.73","3.52","3.02","2.29","2.1","1.47","0.71","0.11","0.25","0.08","0.32","","","","","","","","","","","","",""
"Conventional Heavy","CHV","2020-11-12","CHV-862","Superior","916.7","22.7","3.28","9.2","","0.86","","47.3","108","","0.13","2.59","4.11","3.55","2.81","2.65","1.87","1.01","0.09","0.22","0.09","0.3","0.07","1.65","2.81","2.57","2.11","2.04","1.47","0.81","0.09","0.21","0.09","0.28","45","113.6","220.5","308.9","379.3","443.9","517.4","602.6","708.3","","","",""
"Conventional Heavy","CHV","2020-10-09","CHV-830","Superior","932.1","20.2","3.69","10","197.3","1.05","10.7","53.4","118","ND","0.07","2.23","3.93","3.16","2.45","2.1","1.41","0.7","0.09","0.24","0.06","0.3","0.04","1.39","2.65","2.25","1.81","1.59","1.09","0.55","0.09","0.22","0.06","0.28","","","","","","","","","","","","",""
"Conventional Heavy","CHV","2020-09-15","CHV-903","Superior","933.4","20","3.47","9.9","","1.08","","49","119","","0.07","2.18","4.36","3.32","2.43","1.97","1.32","0.69","0.11","0.25","0.05","0.3","0.04","1.36","2.93","2.36","1.79","1.49","1.02","0.54","0.1","0.23","0.05","0.28","41.3","146.2","279.4","352.8","417.2","479.6","550","628.9","712.7","","","",""
"Conventional Heavy","CHV","2020-08-11","CHV-847","Superior","934.8","19.7","3.46","9.6","","1.05","","55.7","116","","0.04","1.37","4.03","3.61","2.9","2.51","1.74","0.85","0.12","0.3","0.06","0.4","0.02","0.85","2.71","2.56","2.13","1.9","1.34","0.67","0.11","0.28","0.06","0.37","","","","","","","","","","","","",""
"Conventional Heavy","CHV","2020-07-11","CHV-691","Superior","929.3","20.6","3.46","10.1","186.9","1.03","8","51.7","125","","0.07","1.73","4.49","3.88","3","2.59","1.69","0.86","0.13","0.29","0.07","0.38","0.04","1.08","3.04","2.77","2.22","1.97","1.31","0.68","0.12","0.27","0.07","0.35","71.7","131.1","254.5","336.3","408.2","473","545","626.6","717.5","","","",""
"Conventional Heavy","CHV","2020-06-09","CHV-843","Superior","930.5","20.4","3.17","10.8","","1.16","","52.4","121","","0.11","2.33","6.89","5.23","3.55","2.88","1.72","0.85","0.16","0.34","0.09","0.39","0.06","1.46","4.65","3.73","2.62","2.19","1.33","0.67","0.15","0.32","0.08","0.36","","","","","","","","","","","","",""
"Conventional Heavy","CHV","2020-05-21","CHV-836","Superior","919.6","22.2","3.26","10.6","","1.11","","55.8","125","","0.07","1.8","4.51","3.56","2.58","2.12","1.26","0.61","0.11","0.26","0.06","0.29","0.04","1.14","3.08","2.57","1.93","1.63","0.99","0.49","0.11","0.25","0.06","0.27","36.5","73.2","203.4","316.2","395.8","462","529.6","608.8","705.8","","","",""
"Conventional Heavy","CHV","2020-03-15","CHV-967","Superior","920.4","22.1","3.48","9.7","","1.16","","50.8","130","","0.09","2.1","6.31","4.58","3.11","2.65","1.93","0.83","0.08","0.11","0.03","0.14","0.05","1.33","4.31","3.3","2.32","2.03","1.51","0.66","0.08","0.1","0.03","0.13","55","109.4","246.1","331.2","402.9","467.6","540.4","625","713.2","","","",""
"Conventional Heavy","CHV","2020-02-03","CHV-768","Superior","924.1","21.5","3.23","9.6","","1.09","","44.3","113","","0.07","1.52","7.37","4.68","2.82","2.16","1.72","0.73","0.07","0.06","0.03","0.06","0.04","0.96","5.01","3.36","2.1","1.65","1.34","0.58","0.07","0.06","0.03","0.06","","","","","","","","","","","","",""
