"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Federated","FD","2021-01-02","FD-838","Edmonton","816.7","41.6","0.2","1.2","2.2","1.5","0.46","4.83","2.69","5.27","7.28","7.62","6.49","4.05","0.18","0.64","0.25","1.04","0.28","3.45","2.07","4.28","6.13","6.59","5.74","3.64","0.19","0.68","0.27","1.1","48.7","95.7","138.4","176.3","216.6","267","319.2","378.7","443","533.5","613","",""
"Federated","FD","2020-12-11","FD-832","Edmonton","817.4","41.5","0.18","1","1.4","1","0.34","4.23","2.41","4.94","7.18","7.65","5.87","4.84","0.18","0.65","0.25","1.05","0.21","3.02","1.85","4.01","6.04","6.61","5.18","4.34","0.19","0.69","0.27","1.11","","","","","","","","","","","","",""
"Federated","FD","2020-11-27","FD-830","Edmonton","818.1","41.3","0.2","1.2","1.7","1.3","0.52","5.65","2.67","5.23","7.43","7.78","6.33","4.12","0.19","0.66","0.26","1.02","0.31","4.02","2.05","4.24","6.24","6.72","5.58","3.69","0.21","0.7","0.28","1.08","","","","","","","","","","","","",""
"Federated","FD","2020-09-05","FD-818","Edmonton","816.8","41.6","0.2","1.1","1.4","1.6","0.55","4.98","2.78","5.31","7.25","7.6","6.59","3.03","0.18","0.64","0.25","1.05","0.33","3.55","2.14","4.31","6.1","6.57","5.82","2.72","0.19","0.68","0.27","1.11","","","","","","","","","","","","",""
"Federated","FD","2020-08-08","FD-812","Edmonton","817.7","41.4","0.2","1.1","1.5","1.8","0.5","4.31","2.65","5.31","7.53","7.93","6.8","3.12","0.19","0.69","0.26","1.07","0.3","3.07","2.04","4.31","6.33","6.85","6","2.8","0.21","0.74","0.28","1.14","","","","","","","","","","","","",""
"Federated","FD","2020-07-20","FD-808","Edmonton","817.3","41.5","0.21","1.3","2","1.7","0.39","4.18","2.56","5.21","7.3","7.44","6.22","2.96","0.21","0.72","0.24","1.06","0.24","2.98","1.97","4.23","6.14","6.43","5.49","2.66","0.23","0.77","0.26","1.12","74.2","99","136.1","178.5","228.8","281.9","334.3","397.9","467","580.4","","",""
"Federated","FD","2020-06-10","FD-790","Edmonton","820","40.9","0.15","1.2","1","0.7","0.56","4.26","2.39","4.75","6.78","7.23","6.4","3.01","0.15","0.56","0.24","0.96","0.33","3.03","1.83","3.84","5.68","6.23","5.63","2.69","0.16","0.59","0.25","1.01","","","","","","","","","","","","",""
"Federated","FD","2020-04-06","FD-762","Edmonton","818.3","41.3","0.18","1.2","1.6","1.4","0.02","3.51","4.93","4.95","4.32","5.94","5.46","3.36","0.05","0.28","0.19","0.72","0.01","2.51","3.79","4.01","3.63","5.13","4.81","3.01","0.05","0.3","0.2","0.76","72.6","104","140.5","180.2","228.7","281","333.8","396.6","465","575","","",""
"Federated","FD","2020-03-02","FD-737","Edmonton","823.7","40.1","0.31","1.5","3.9","6.6","0.66","4.71","2.79","5.04","7.12","7.5","7.03","3.07","0.11","0.42","0.22","0.78","0.39","3.33","2.13","4.06","5.94","6.44","6.16","2.73","0.12","0.44","0.23","0.82","","","","","","","","","","","","",""
"Federated","FD","2020-02-03","FD-708","Edmonton","824.1","40.1","0.39","1.6","3.9","7.3","0.61","4.8","2.72","5.02","6.97","7.12","6.57","2.79","0.17","0.55","0.2","0.75","0.36","3.39","2.07","4.04","5.81","6.1","5.75","2.48","0.18","0.58","0.21","0.79","","","","","","","","","","","","",""
"Federated","FD","2020-01-06","FD-703","Edmonton","823.5","40.2","0.36","1.6","3.4","6.5","0.46","3.86","2.53","4.79","6.8","7.36","7.58","3.56","0.11","0.46","0.23","0.79","0.28","2.73","1.93","3.86","5.68","6.31","6.64","3.17","0.12","0.49","0.24","0.83","85.1","102.4","137.3","176.8","218.7","271.2","326.6","387.2","453.8","549.6","640.2","",""
"Federated","FD","2019-12-09","FD-699","Edmonton","822.8","40.3","0.44","1.6","4.9","8.1","0.52","4.45","2.61","5.05","7.12","7.41","6.58","3.11","0.18","0.65","0.23","1","0.31","3.15","1.99","4.07","5.94","6.36","5.77","2.77","0.19","0.69","0.24","1.05","","","","","","","","","","","","",""
"Federated","FD","2019-11-04","FD-692","Edmonton","818.2","41.3","0.34","1.5","3.5","6.6","0.65","4.92","2.85","5.28","7.36","7.7","6.86","3.01","0.17","0.64","0.23","0.99","0.39","3.5","2.19","4.28","6.18","6.65","6.05","2.7","0.18","0.68","0.24","1.05","","","","","","","","","","","","",""
"Federated","FD","2019-10-08","FD-679","Edmonton","819.4","41","0.36","1.5","3.8","7.2","0.65","4.88","3.07","5.35","7.39","7.71","6.91","3.2","0.15","0.58","0.24","0.96","0.39","3.47","2.36","4.33","6.2","6.65","6.08","2.86","0.16","0.62","0.26","1.02","76.6","99.9","141.2","183.1","230.9","285","338.5","402","473.3","591.2","","",""
"Federated","FD","2019-09-03","FD-665","Edmonton","819.5","41","0.43","1.5","4.1","8.8","0.59","4.58","2.88","5.46","7.55","7.91","6.86","3.12","0.18","0.66","0.24","1.05","0.35","3.26","2.21","4.42","6.33","6.82","6.04","2.79","0.19","0.7","0.26","1.11","","","","","","","","","","","","",""
"Federated","FD","2019-08-13","FD-656","Edmonton","814.8","42","0.25","1.2","2.2","3.6","0.53","4.51","3.99","6.24","7.87","7.94","6.58","2.71","0.18","0.62","0.22","1","0.32","3.22","3.08","5.08","6.64","6.88","5.82","2.44","0.2","0.66","0.24","1.06","","","","","","","","","","","","",""
"Federated","FD","2019-07-06","FD-647","Edmonton","821.9","40.5","0.32","1.4","3","4.5","0.62","4.57","2.86","5.44","7.56","7.9","7.31","3.24","0.16","0.59","0.25","0.95","0.37","3.24","2.19","4.39","6.32","6.79","6.41","2.89","0.17","0.63","0.26","1","65.1","98.5","145.2","188.7","236.8","291","343.7","407.4","479.1","600.4","","",""
