"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Light Smiley","MSY","2021-01-10","MSY-082","Kerrobert","843.3","36.1","0.35","2.7","5","7.2","0.29","5.43","2.18","4.03","5.28","5.4","4.56","2.17","0.02","0.13","0.13","0.43","0.17","3.74","1.62","3.17","4.3","4.52","3.9","1.89","0.02","0.13","0.13","0.44","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-12-01","MSY-327","Kerrobert","839.1","37","0.21","2.3","3.6","2.7","0.29","6.09","1.95","4.1","5.55","5.75","4.83","2.47","0.02","0.11","0.13","0.42","0.17","4.22","1.46","3.24","4.55","4.84","4.15","2.16","0.02","0.11","0.13","0.43","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-11-01","MSY-129","Kerrobert","839","37","0.19","2.3","2.7","2","0.25","5.97","1.89","3.95","5.4","5.56","4.86","2.2","0.01","0.13","0.13","0.43","0.15","4.13","1.41","3.12","4.42","4.68","4.18","1.92","0.01","0.13","0.13","0.44","52.8","111.3","170.2","229","283.2","333.7","390.6","448","517.9","622.7","705.3","",""
"Light Smiley","MSY","2020-10-04","MSY-144","Kerrobert","839.7","36.9","0.2","2.2","3.2","2.1","0.29","5.84","1.87","3.99","5.41","5.64","4.88","2.2","0.02","0.14","0.13","0.47","0.17","4.04","1.4","3.15","4.43","4.74","4.19","1.92","0.02","0.15","0.13","0.49","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-09-03","MSY-310","Kerrobert","838.5","37.1","0.19","2.2","2.7","2.1","0.3","6.23","1.94","3.93","5.38","5.63","4.88","2.24","0.02","0.13","0.13","0.47","0.18","4.32","1.45","3.11","4.41","4.74","4.2","1.96","0.02","0.14","0.14","0.49","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-08-05","MSY-307","Kerrobert","838.2","37.2","0.19","2.2","3.2","2.2","0.28","5.71","2.02","4.11","5.55","5.78","5.11","2.15","0.02","0.13","0.13","0.46","0.17","3.96","1.51","3.25","4.55","4.87","4.4","1.88","0.02","0.14","0.14","0.48","36.1","89.3","149.9","218","278","334","396.8","460.2","543","678.2","","",""
"Light Smiley","MSY","2020-07-07","MSY-247","Kerrobert","837.7","37.3","0.18","2.2","3.2","1.9","0.33","5.83","1.92","3.9","5.16","5.21","4.44","2.01","0.01","0.13","0.12","0.43","0.2","4.04","1.44","3.09","4.23","4.39","3.82","1.76","0.01","0.14","0.12","0.44","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-03-01","MSY-126","Kerrobert","834.8","37.8","0.24","2.3","4.1","3.7","0.35","6.21","2.12","4.08","5.37","5.37","4.9","2.08","0.01","0.1","0.1","0.34","0.21","4.33","1.59","3.24","4.42","4.54","4.23","1.83","0.01","0.1","0.1","0.35","","","","","","","","","","","","",""
"Light Smiley","MSY","2020-02-04","MSY-138","Kerrobert","841.5","36.5","0.35","2.6","4.8","7.5","0.34","6.25","2.37","4.01","5.14","5.09","4.58","2.07","0.02","0.1","0.07","0.3","0.2","4.32","1.77","3.16","4.2","4.27","3.93","1.8","0.02","0.1","0.07","0.31","60.2","105.9","168.3","229","286.3","340.6","399.4","460.2","539.8","658","","",""
"Light Smiley","MSY","2020-01-07","MSY-247","Kerrobert","836.8","37.4","0.27","2.3","3.9","4.5","0.33","6.27","2.14","4.07","5.34","5.5","4.87","2.1","0.01","0.11","0.11","0.39","0.2","4.36","1.61","3.22","4.38","4.64","4.2","1.84","0.01","0.11","0.11","0.4","","","","","","","","","","","","",""
