"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Medium Gibson Sour","MGS","2021-01-02","MGS-789","Edmonton","844.5","35.9","1.25","3.4","9.4","23.4","0.47","4.5","3.73","5.1","5.96","6.06","4.71","2.69","0.22","0.66","0.22","0.87","0.27","3.1","2.78","4.01","4.85","5.07","4.02","2.34","0.23","0.68","0.23","0.89","54.8","93.3","155.9","214.3","275.9","334.6","397","464","549.6","692.7","","",""
"Medium Gibson Sour","MGS","2020-12-04","MGS-779","Edmonton","833.9","38","1.09","3.2","9.4","21.3","0.27","3.49","5.16","6.98","7.4","6.41","4.65","3.02","0.36","1.01","0.23","1.06","0.16","2.44","3.89","5.55","6.1","5.43","4.02","2.65","0.38","1.05","0.24","1.1","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-11-05","MGS-766","Edmonton","834.8","37.8","1","3.1","10.5","23.4","0.25","3.93","5","7.8","8.11","6.54","4.76","2.8","0.41","1.1","0.2","1.11","0.15","2.74","3.76","6.2","6.67","5.53","4.11","2.46","0.43","1.15","0.21","1.15","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-10-04","MGS-753","Edmonton","813.8","42.2","0.96","2.2","6.9","18.4","0.33","4.43","6.34","7.69","8.46","7.93","5.64","2.82","0.29","0.9","0.21","1.18","0.2","3.17","4.89","6.27","7.14","6.88","5","2.54","0.31","0.96","0.22","1.26","35.2","68.6","101.6","147.8","198.9","266.4","336.7","410.4","494.9","627.4","","",""
"Medium Gibson Sour","MGS","2020-09-02","MGS-009","Edmonton","821.9","40.5","1.08","3.6","12.1","32.3","0.3","3.18","7.09","7.69","7.65","6.77","5.51","3.07","0.33","0.79","0.19","0.98","0.18","2.26","5.42","6.2","6.4","5.82","4.83","2.74","0.35","0.84","0.2","1.03","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-08-03","MGS-720","Edmonton","824.4","40","1.06","2.5","8.9","23.8","0.35","4.1","4.51","6.81","8.22","8.32","6.02","2.7","0.25","0.82","0.22","1.27","0.21","2.9","3.44","5.48","6.85","7.13","5.27","2.4","0.27","0.87","0.23","1.34","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-07-02","MGS-707","Edmonton","830","38.8","0.91","3.2","10.4","25.1","0.31","3.87","4.57","6.69","7.41","7.09","5.84","3.3","0.31","0.91","0.23","1.17","0.19","2.72","3.46","5.35","6.13","6.03","5.07","2.91","0.33","0.95","0.24","1.22","60.2","94","135.7","180","235.8","302.1","369.4","443.4","538.5","692","","",""
"Medium Gibson Sour","MGS","2020-06-02","MGS-692","Edmonton","835.9","37.6","1.35","6","14.5","32","0.25","4.09","5.96","8.44","8.27","7.4","5.16","2.82","0.39","1.02","0.2","1.2","0.15","2.85","4.48","6.7","6.8","6.25","4.45","2.47","0.41","1.06","0.21","1.24","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-04-04","MGS-686","Edmonton","827.8","39.3","1.22","4","10.1","26.5","0.38","3.9","7.85","8.76","8.35","6.91","5.07","2.65","0.48","1.15","0.24","1.14","0.23","2.74","5.95","7.02","6.93","5.89","4.42","2.35","0.51","1.21","0.25","1.19","42.7","84.3","115.7","169.4","232.2","302.1","372.2","450.2","551","","","",""
"Medium Gibson Sour","MGS","2020-03-02","MGS-672","Edmonton","865.6","31.8","1.82","5.4","24.1","57.8","0.28","4.24","3.64","4.61","5.28","5.27","4.86","2.41","0.16","0.45","0.15","0.61","0.16","2.85","2.64","3.53","4.19","4.3","4.05","2.04","0.16","0.45","0.15","0.61","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-02-04","MGS-556","Edmonton","866.4","31.7","1.35","5.1","23.8","52.5","0.21","3.86","2.43","3.71","4.66","4.91","5.16","2.61","0.17","0.41","0.15","0.52","0.12","2.59","1.76","2.84","3.7","4","4.3","2.21","0.17","0.41","0.15","0.52","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2020-01-03","MGS-001","Edmonton","838.7","37.1","0.83","3.3","9.9","21.1","0.48","4.37","2.73","4.2","5.17","5.66","5.64","2.5","0.18","0.48","0.23","0.59","0.29","3.03","2.04","3.32","4.23","4.76","4.85","2.18","0.19","0.5","0.24","0.61","40.5","104.2","155.5","202.2","258.9","316.2","371.8","430.8","522.1","643.3","","",""
"Medium Gibson Sour","MGS","2019-12-07","MGS-535","Edmonton","851.7","34.5","1.43","5.2","21.4","51.5","0.26","3.51","4.67","6.79","7.22","6","4.48","2.2","0.44","1.17","0.22","1.08","0.15","2.4","3.44","5.29","5.82","4.97","3.79","1.89","0.46","1.2","0.22","1.1","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-11-07","MGS-527","Edmonton","861.5","32.6","1.42","4.9","17.3","43.5","0.24","3.39","3.27","5.9","6.44","5.33","4.17","2.09","0.33","0.94","0.16","0.86","0.14","2.29","2.39","4.54","5.14","4.37","3.49","1.78","0.34","0.95","0.16","0.87","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-10-08","MGS-518","Edmonton","832.3","38.4","1.44","4.4","16.6","42.5","0.3","3.77","7.42","9.32","9.2","7.4","4.77","2.3","0.5","1.37","0.21","1.36","0.18","2.64","5.6","7.43","7.6","6.28","4.13","2.03","0.53","1.43","0.22","1.42","42.6","76.9","110","161.5","228","301.9","376.2","456.4","559.9","","","",""
"Medium Gibson Sour","MGS","2019-09-02","MGS-505","Edmonton","852.8","34.3","1.57","4.9","27","62.9","0.24","3.78","3.86","6.26","7.43","6.46","4.65","2.44","0.3","1.03","0.18","1.05","0.14","2.58","2.84","4.87","5.99","5.35","3.93","2.1","0.31","1.05","0.18","1.07","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-08-11","MGS-502","Edmonton","816.1","41.7","0.89","2.9","6.5","17","0.28","3.48","5.07","7.97","9.22","8.54","5.67","3.03","0.47","1.44","0.25","1.63","0.17","2.48","3.9","6.48","7.76","7.39","5.01","2.72","0.51","1.54","0.27","1.73","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-07-22","MGS-496","Edmonton","828.4","39.2","0.86","3.2","10.7","24.8","0.18","2.6","4.4","9.69","11.69","8.68","5.48","2.97","0.67","2","0.28","1.6","0.11","1.83","3.34","7.76","9.7","7.4","4.77","2.63","0.71","2.1","0.29","1.68","55.8","84.9","109.6","151.3","199.8","273.4","347.9","426.4","518.7","684.1","","",""
"Medium Gibson Sour","MGS","2019-06-27","MGS-495","Edmonton","862.1","32.5","1.43","5.1","20.7","49.6","0.19","3.61","3.71","6.24","7.06","5.53","3.72","1.93","0.38","1.15","0.17","1","0.11","2.44","2.7","4.8","5.63","4.53","3.11","1.64","0.39","1.16","0.17","1.01","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-03-11","MGS-488","Edmonton","826.6","39.5","0.9","3.2","10","21.5","0.36","3.21","4.65","10.33","13","9.76","5.8","2.98","0.73","2.37","0.31","2.09","0.21","2.26","3.54","8.29","10.81","8.34","5.06","2.64","0.78","2.5","0.33","2.19","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-02-28","MGS-486","Edmonton","808.8","43.3","0.64","2.6","7.5","15.7","0.39","3.73","6.14","11.16","13.3","10.32","5.8","3.04","0.72","2.36","0.3","2.27","0.24","2.69","4.77","9.15","11.3","9.01","5.17","2.75","0.79","2.54","0.32","2.43","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2019-01-12","MGS-483","Edmonton","824.5","40","0.94","3.6","11.6","27.2","0.25","2.51","6.87","10.13","10.88","8.19","5.6","2.48","0.6","1.64","0.25","1.47","0.15","1.78","5.24","8.15","9.07","7.02","4.9","2.21","0.64","1.73","0.26","1.55","38.7","64.3","99.1","144.4","202","278","350.4","424.9","516.5","661.4","","",""
