"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Midale","MSM","2021-01-14","MSM-001","Cromer","861.4","32.6","2.05","4.9","136.7","0.12","30.8","14.1","23.9","0.38","3.74","3.03","5.78","5.83","6.13","4.99","2.67","0.83","1.11","0.63","0.58","0.22","2.54","2.21","4.45","4.65","5.03","4.18","2.27","0.85","1.12","0.64","0.58","","","","","","","","","","","","",""
"Midale","MSM","2020-12-13","MSM-048","Cromer","860.3","32.8","2.07","4.9","","0.13","","13.3","22.6","0.5","4.27","3.32","5.93","5.81","6.1","4.54","2.31","0.81","1.07","0.61","0.58","0.29","2.9","2.42","4.57","4.64","5.01","3.81","1.97","0.83","1.08","0.62","0.58","","","","","","","","","","","","",""
"Midale","MSM","2020-10-16","MSM-042","Cromer","862.4","32.4","2.09","5","279","0.11","32.4","11.8","20.7","0.24","3.5","2.79","5.5","5.52","5.88","5.01","2.82","0.79","1.07","0.61","0.61","0.14","2.37","2.03","4.23","4.4","4.82","4.19","2.4","0.81","1.08","0.62","0.61","","","","","","","","","","","","",""
"Midale","MSM","2020-09-01","MSM-038","Cromer","862.1","32.5","2.07","5.1","","ND","","11.1","20.6","0.36","4.07","3.25","5.81","5.71","5.94","4.42","2.43","0.79","1.04","0.59","0.61","0.21","2.76","2.37","4.47","4.55","4.87","3.7","2.07","0.81","1.05","0.6","0.61","","","","","","","","","","","","",""
"Midale","MSM","2020-08-10","MSM-035","Cromer","863.9","32.1","2.05","5","","ND","","8.9","17.1","0.33","4.09","2.96","5.65","5.71","6.03","4.47","2.21","0.79","1.07","0.61","0.62","0.19","2.76","2.15","4.34","4.54","4.93","3.73","1.88","0.81","1.08","0.61","0.62","69.1","100.5","159.3","223.8","283.6","341.7","402.5","468.7","553.2","683.2","","",""
"Midale","MSM","2020-07-07","MSM-030","Cromer","862.9","32.3","2.06","5","157.6","0.1","12.2","11.1","21.8","0.31","3.86","2.85","5.36","5.35","5.61","4.27","2.18","0.77","1.03","0.57","0.59","0.18","2.61","2.07","4.12","4.26","4.59","3.57","1.85","0.79","1.04","0.58","0.59","","","","","","","","","","","","",""
"Midale","MSM","2020-06-09","MSM-024","Cromer","861.2","32.7","2.02","5","","0.19","","9.7","18.3","0.31","4.1","2.89","5.62","5.49","5.8","4.41","2.41","0.83","1.08","0.6","0.64","0.18","2.78","2.11","4.33","4.38","4.76","3.69","2.05","0.85","1.09","0.61","0.64","","","","","","","","","","","","",""
"Midale","MSM","2020-05-22","MSM-022","Cromer","862.8","32.4","2.12","5","","0.11","","12.1","21.9","0.26","4.11","2.94","5.75","5.71","6.06","4.65","2.32","0.85","1.14","0.63","0.64","0.15","2.78","2.14","4.42","4.55","4.96","3.89","1.97","0.87","1.15","0.64","0.64","39.6","78.5","145.3","213.6","275.8","337.8","403.4","473.3","565.1","712.1","","",""
"Midale","MSM","2020-04-19","MSM-017","Cromer","860","32.9","2.08","4.7","457.8","0.13","29.7","11.3","20.1","0.41","4.64","2.96","5.76","5.73","5.97","4.72","2.58","0.85","1.14","0.62","0.6","0.24","3.15","2.16","4.44","4.58","4.9","3.96","2.2","0.87","1.15","0.63","0.6","","","","","","","","","","","","",""
"Midale","MSM","2020-03-09","MSM-011","Cromer","861","32.7","2.18","5.1","","ND","","11.8","21.2","0.47","4.97","2.97","5.35","5.22","5.77","4.73","2.17","0.63","0.78","0.49","0.35","0.27","3.37","2.17","4.12","4.17","4.73","3.96","1.85","0.65","0.79","0.5","0.35","","","","","","","","","","","","",""
