"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Peace Pipe Sour","SPR","2021-01-03","SPR-643","Edmonton","824.9","39.9","1.05","2.2","6.6","18.5","0.59","4.06","3.45","5.83","7.12","7.38","5.93","3.59","0.25","0.78","0.26","1.07","0.35","2.87","2.63","4.69","5.93","6.32","5.18","3.19","0.27","0.82","0.27","1.12","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-12-03","SPR-627","Edmonton","825.2","39.8","1.14","2","5.6","15.5","0.49","3.92","3.67","6","6.91","7.24","5.55","3.58","0.28","0.81","0.26","1.06","0.29","2.77","2.8","4.82","5.76","6.2","4.85","3.18","0.3","0.86","0.27","1.11","52.1","108.4","146.2","188.5","242.2","300.6","359.1","425","509.5","639.1","","",""
"Peace Pipe Sour","SPR","2020-11-02","SPR-615","Edmonton","819.3","41.1","1.02","2.2","5.9","16.4","0.45","4.04","3.98","6.13","7.12","7.25","5.62","3.14","0.28","0.83","0.23","1.14","0.27","2.87","3.05","4.96","5.97","6.25","4.95","2.81","0.3","0.88","0.24","1.21","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-10-02","SPR-602","Edmonton","806.1","43.9","0.95","1.6","5.3","15.1","0.37","4.42","5.65","7.89","8.84","8.59","6.27","3.22","0.28","0.91","0.21","1.27","0.23","3.19","4.4","6.49","7.54","7.53","5.61","2.93","0.31","0.98","0.23","1.37","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-09-02","SPR-587","Edmonton","806","43.9","0.73","1.4","3.9","11.9","0.35","3.9","4.44","6.65","8.24","8.34","6.84","3.84","0.23","0.79","0.2","1.23","0.22","2.82","3.46","5.47","7.02","7.31","6.12","3.49","0.25","0.85","0.22","1.32","35.1","68.6","109.5","154.1","191.6","244.5","303.5","370.1","450.9","565.3","665.6","",""
"Peace Pipe Sour","SPR","2020-08-03","SPR-559","Edmonton","805.1","44.1","0.69","1.3","3.7","10.6","0.45","4.32","4.54","6.86","8.53","8.74","6.91","3.72","0.21","0.75","0.2","1.26","0.28","3.13","3.54","5.65","7.28","7.67","6.19","3.39","0.23","0.81","0.22","1.36","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-07-09","SPR-533","Edmonton","813.1","42.4","0.78","1.6","4","11.3","0.58","3.85","4.07","6.26","7.36","7.5","5.87","3.06","0.24","0.73","0.22","1.11","0.35","2.76","3.15","5.11","6.22","6.51","5.21","2.76","0.26","0.78","0.24","1.18","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-06-01","SPR-499","Edmonton","801.9","44.8","0.74","1.3","2.5","8","0.49","3.82","5.56","8.06","9.04","8.84","6.37","3.49","0.33","1.02","0.25","1.39","0.3","2.78","4.36","6.66","7.75","7.78","5.73","3.19","0.36","1.11","0.27","1.5","35.7","54.9","102.6","146.6","191.5","248.6","311.4","384.3","472.4","607.9","","",""
"Peace Pipe Sour","SPR","2020-04-02","SPR-431","Edmonton","832.3","38.4","1.53","3.1","12.3","34.9","0.51","4.11","3.82","5.62","6.03","6.48","5.71","2.78","0.16","0.46","0.2","0.58","0.3","2.88","2.88","4.48","4.98","5.5","4.95","2.45","0.17","0.48","0.21","0.6","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-03-02","SPR-398","Edmonton","852.1","34.4","2.08","4.3","20.2","56.6","0.47","4.04","2.69","4.25","4.79","5.08","4.65","2.35","0.15","0.43","0.17","0.54","0.27","2.76","1.98","3.31","3.86","4.21","3.94","2.02","0.16","0.44","0.17","0.55","98.1","113.3","163.5","217.9","275.3","330.8","387.4","450.6","528.8","629.4","697.3","",""
"Peace Pipe Sour","SPR","2020-02-02","SPR-366","Edmonton","861.9","32.5","2.19","4.6","25","66.9","0.31","3.26","1.88","3.26","3.89","4.27","4.3","2.12","0.12","0.35","0.14","0.43","0.18","2.2","1.37","2.51","3.1","3.5","3.6","1.8","0.12","0.35","0.14","0.43","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2020-01-02","SPR-334","Edmonton","835.8","37.6","1.52","3.2","5.2","7","0.58","3.83","3.46","5.62","6.8","7.04","5.99","3.05","0.18","0.59","0.18","0.89","0.34","2.67","2.6","4.46","5.59","5.95","5.17","2.67","0.19","0.61","0.19","0.92","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2019-12-02","SPR-305","Edmonton","842","36.4","1.97","3.6","14.9","44.8","0.48","4.41","3.08","4.87","5.59","5.98","5.01","2.56","0.19","0.57","0.19","0.8","0.28","3.05","2.3","3.84","4.56","5.02","4.29","2.23","0.2","0.59","0.2","0.82","35.7","78.8","143","204","265","324.3","387.1","456.2","544.1","674.7","","",""
"Peace Pipe Sour","SPR","2019-11-02","SPR-273","Edmonton","843.9","36","1.92","3.9","12","39","0.42","4.15","3.78","5.43","6.04","6.25","4.89","2.62","0.25","0.64","0.16","0.88","0.24","2.86","2.81","4.27","4.92","5.23","4.18","2.28","0.26","0.66","0.17","0.9","","","","","","","","","","","","",""
"Peace Pipe Sour","SPR","2019-10-02","SPR-230","Edmonton","824.1","40.1","1.37","2.6","9.5","28.5","0.51","4.44","4.69","6.89","7.68","7.69","5.96","3.05","0.29","0.9","0.24","1.14","0.3","3.14","3.58","5.55","6.4","6.59","5.22","2.71","0.31","0.95","0.25","1.2","","","","","","","","","","","","",""
