"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Pembina Light Sour","PLS","2019-06-05","PLS-835","Edmonton","842.1","36.4","1.04","3.7","11.1","25.3","0.5","4.98","2.93","6.07","7.95","7.7","6.01","3.15","0.48","1.44","0.3","1.51","0.29","3.44","2.19","4.78","6.49","6.46","5.15","2.74","0.5","1.49","0.31","1.55","52.3","85.6","133.5","178.8","234.7","295.3","357.2","427.7","513.1","645.2","","",""
"Pembina Light Sour","PLS","2019-05-07","PLS-825","Edmonton","833.8","38","0.84","3.1","8.4","18.9","0.51","4.24","3.7","6.18","7.61","7.47","5.56","3.04","0.43","1.23","0.28","1.4","0.3","2.96","2.79","4.91","6.27","6.32","4.81","2.67","0.46","1.28","0.29","1.46","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2019-04-05","PLS-818","Edmonton","841.9","36.4","1.08","3.8","12.1","25.8","0.47","4.29","2.25","4.94","6.69","6.71","5.05","2.79","0.42","1.26","0.29","1.39","0.27","2.96","1.68","3.89","5.46","5.63","4.33","2.43","0.44","1.3","0.3","1.43","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2019-03-03","PLS-813","Edmonton","844.8","35.8","1.14","3.8","12.8","27.3","0.47","3.88","2.7","5.43","6.82","6.71","4.72","2.85","0.46","1.27","0.29","1.41","0.27","2.67","2.01","4.26","5.55","5.61","4.03","2.47","0.48","1.31","0.3","1.45","37.5","89.1","135.1","183.3","242.1","300.7","362.9","435.1","531","681.3","","",""
"Pembina Light Sour","PLS","2019-02-05","PLS-807","Edmonton","850.3","34.8","1.28","4.3","11.2","29","0.32","4.12","2.39","5.45","7.1","7.2","5.93","3.68","0.52","1.48","0.33","1.62","0.19","2.82","1.77","4.25","5.74","5.98","5.03","3.17","0.54","1.52","0.34","1.65","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2019-01-05","PLS-803","Edmonton","846.4","35.5","1.23","4.2","11.2","27.8","0.45","4.71","2.7","5.98","7.83","7.65","5.78","3.22","0.57","1.64","0.34","1.71","0.26","3.24","2","4.69","6.36","6.39","4.93","2.79","0.6","1.69","0.35","1.75","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-12-05","PLS-797","Edmonton","829.4","39","0.82","2.9","8.6","19.2","0.51","2.73","3.99","7.45","9.44","8.88","6.45","3.71","0.54","1.69","0.31","1.84","0.3","1.92","3.02","5.96","7.82","7.56","5.61","3.28","0.58","1.78","0.33","1.92","63.5","86.5","125.6","165.9","213.8","272.2","336.2","409.6","491.9","619","","",""
"Pembina Light Sour","PLS","2018-10-03","PLS-772","Edmonton","826.5","39.6","0.5","2.4","5","12","0.44","3.56","2.84","5.48","6.78","6.14","4.85","2.33","0.26","0.93","0.19","1.07","0.27","2.51","2.16","4.4","5.64","5.25","4.23","2.07","0.28","0.98","0.2","1.12","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-09-03","PLS-760","Edmonton","832.5","38.3","0.7","3","8.8","20.6","0.46","4.19","3.02","6.16","8.1","7.45","5.56","3.2","0.4","1.31","0.26","1.41","0.28","2.93","2.28","4.91","6.69","6.32","4.82","2.82","0.42","1.37","0.27","1.47","44","86.8","128.9","173.3","227.3","288.3","349.7","417.9","500.7","623","","",""
"Pembina Light Sour","PLS","2018-08-02","PLS-748","Edmonton","836.8","37.4","0.8","2.7","7.9","18.1","0.51","4.8","2.91","6.07","7.96","7.59","5.21","2.91","0.42","1.37","0.29","1.54","0.3","3.34","2.18","4.81","6.54","6.4","4.49","2.55","0.44","1.43","0.3","1.6","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-07-09","PLS-736","Edmonton","830.1","38.8","0.66","2.7","6.4","13.9","0.54","4.28","3.42","6.39","7.81","7.04","4.78","2.21","0.37","1.18","0.25","1.29","0.32","3","2.59","5.11","6.47","5.99","4.15","1.95","0.39","1.24","0.26","1.35","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-06-03","PLS-713","Edmonton","822.9","40.3","0.4","1.9","4.4","9","0.62","4.13","3.94","6.33","7.69","7.32","5.28","2.54","0.24","0.77","0.2","0.97","0.37","2.92","3.01","5.1","6.42","6.28","4.63","2.26","0.26","0.81","0.21","1.02","43.7","71.7","119.2","173.6","234.1","292.7","353.5","418.6","496.7","614.7","","",""
"Pembina Light Sour","PLS","2018-05-02","PLS-701","Edmonton","837.7","37.3","1.08","3.7","12.8","32","0.42","4.26","4.82","6.01","7.04","6.36","4.97","2.7","0.32","1","0.2","0.98","0.25","2.96","3.61","4.76","5.77","5.36","4.28","2.36","0.34","1.04","0.21","1.01","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-04-01","PLS-690","Edmonton","837.5","37.3","1.14","4","12.3","34.1","0.55","4.6","4.15","6.7","8.1","7.17","5.46","3.13","0.43","1.27","0.24","1.29","0.32","3.2","3.11","5.31","6.65","6.05","4.7","2.74","0.45","1.32","0.25","1.34","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-03-01","PLS-679","Edmonton","841.6","36.5","1","3.9","16.1","37.7","0.53","4.64","3.13","6.33","8.08","7.52","5.38","2.74","0.39","1.23","0.27","1.34","0.31","3.21","2.34","4.99","6.6","6.31","4.61","2.39","0.41","1.27","0.28","1.38","35.2","69.4","118","172.1","234.8","298.6","364.7","432.2","519.4","646.1","","",""
"Pembina Light Sour","PLS","2018-02-03","PLS-660","Edmonton","832.9","38.2","0.71","2.9","7","16.9","0.54","3.88","3.33","6.33","8.09","7.52","5.36","2.92","0.4","1.24","0.27","1.35","0.32","2.71","2.51","5.04","6.67","6.37","4.64","2.57","0.42","1.3","0.28","1.41","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2018-01-02","PLS-647","Edmonton","829.7","38.9","0.93","3.3","10","24.3","0.49","4.96","4.06","7.2","8.62","7.47","5.46","3.18","0.51","1.44","0.28","1.47","0.29","3.49","3.08","5.76","7.15","6.36","4.75","2.81","0.54","1.51","0.29","1.54","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2017-12-01","PLS-634","Edmonton","828.3","39.2","0.9","3.3","8.6","21.6","0.52","5.15","4.41","7.67","9.28","7.63","5.53","3","0.51","1.45","0.2","1.18","0.31","3.62","3.34","6.14","7.7","6.51","4.82","2.66","0.54","1.53","0.21","1.24","39.4","68.6","107.9","161.3","219.8","285.9","352.7","426.7","515.8","650.2","","",""
"Pembina Light Sour","PLS","2017-10-01","PLS-302","Edmonton","831.8","38.5","0.99","3.5","12.9","31.6","0.54","4.71","4","7.8","9.88","8.57","5.27","2.52","0.56","1.61","0.25","1.55","0.32","3.3","3.02","6.22","8.16","7.27","4.57","2.22","0.59","1.69","0.26","1.62","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2017-08-03","PLS-572","Edmonton","815.3","41.9","0.6","2.1","6.5","16.7","0.45","4.33","4.72","8.77","11.07","8.98","6.07","2.91","0.51","1.63","0.26","1.42","0.28","3.1","3.64","7.14","9.33","7.78","5.37","2.62","0.55","1.74","0.28","1.51","35.5","57.9","99.2","135.6","181.5","245.6","310.8","381.3","458.6","566.7","649.6","",""
"Pembina Light Sour","PLS","2017-06-02","PLS-420","Edmonton","841.4","36.5","1.45","4.3","23.7","68.8","0.42","1.92","5.54","9.98","12.28","9.14","5.17","2.43","0.78","2.33","0.26","1.92","0.24","1.33","4.14","7.87","10.03","7.67","4.43","2.12","0.82","2.41","0.27","1.98","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2017-04-01","PLS-389","Edmonton","832.5","38.3","1.45","4.1","20.7","51.1","0.37","3.58","4.5","8.43","10.54","8.07","4.66","2.26","0.66","1.98","0.25","1.68","0.22","2.51","3.4","6.72","8.71","6.85","4.04","1.99","0.7","2.07","0.26","1.75","40.4","68.6","105.6","150.7","213.6","288.3","368.2","454.1","566.9","","","",""
"Pembina Light Sour","PLS","2017-02-08","PLS-358","Edmonton","831.3","38.6","1.34","4.3","19.9","53.1","0.54","4.93","5.35","9.15","10.25","7.76","5.02","2.17","0.6","1.73","0.23","1.53","0.32","3.45","4.04","7.3","8.48","6.59","4.36","1.91","0.64","1.81","0.24","1.6","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2016-12-12","PLS-325","Edmonton","840.1","36.8","1.86","5.5","27.2","71.1","0.32","4.69","6.07","9.65","9.9","7.4","4.72","2.21","0.59","1.59","0.22","1.47","0.19","3.25","4.54","7.62","8.1","6.22","4.05","1.93","0.62","1.65","0.23","1.52","","","","","","","","","","","","",""
