"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Rainbow","RA","2020-12-13","RA-391","Edmonton","827.1","39.4","0.37","2","4.1","6.4","0.54","4.41","3.43","5.47","6.71","7.36","5.77","3.38","0.26","0.59","0.28","0.88","0.33","3.11","2.61","4.39","5.58","6.28","5.03","3","0.28","0.62","0.29","0.92","61","87.1","136.8","185.1","237.1","295.3","354.6","419.3","488.9","596.1","704.4","",""
"Rainbow","RA","2020-11-30","RA-389","Edmonton","831.9","38.4","0.58","2.6","7.1","13.3","0.55","4.59","3.47","5.13","6.25","6.88","5.61","2.42","0.21","0.55","0.27","0.8","0.33","3.22","2.62","4.09","5.16","5.84","4.86","2.13","0.22","0.58","0.28","0.83","","","","","","","","","","","","",""
"Rainbow","RA","2020-10-27","RA-384","Edmonton","828.1","39.2","0.45","2.1","5.2","8.7","0.46","4.39","3.34","5.01","6.02","6.76","5.45","2.63","0.22","0.6","0.29","0.84","0.28","3.09","2.53","4.01","5","5.77","4.75","2.33","0.23","0.63","0.3","0.88","","","","","","","","","","","","",""
"Rainbow","RA","2020-09-04","RA-380","Edmonton","821.3","40.6","0.32","2.1","3.5","5.3","0.46","3.52","3.93","5.57","6.82","7.39","6.63","3.59","0.23","0.57","0.25","0.92","0.28","2.5","3.01","4.5","5.71","6.36","5.82","3.21","0.25","0.6","0.27","0.97","37.9","92.3","133.3","176.5","221.7","280.3","339.7","408","483.5","599.3","716.3","",""
"Rainbow","RA","2020-07-03","RA-368","Edmonton","826.6","39.5","0.37","2.1","4.5","6.6","0.49","3.6","3.1","4.91","6.16","6.92","6.74","3.71","0.25","0.51","0.27","0.85","0.3","2.54","2.36","3.94","5.12","5.92","5.88","3.29","0.27","0.54","0.28","0.89","","","","","","","","","","","","",""
"Rainbow","RA","2020-06-10","RA-363","Edmonton","820","40.9","0.41","2.1","4.2","7.6","0.39","3.68","5.07","5.85","6.36","6.83","6.23","3.34","0.26","0.62","0.27","0.91","0.24","2.62","3.88","4.73","5.33","5.88","5.48","2.99","0.28","0.66","0.29","0.96","46.3","86.2","134.5","176.9","220.4","277.6","335.6","403.5","477.4","592.7","708.1","",""
"Rainbow","RA","2020-03-04","RA-342","Edmonton","825.9","39.7","0.43","2.3","5.8","8.6","0.64","4.61","3.23","4.61","5.6","6.36","7.12","3.77","0.14","0.3","0.23","0.48","0.39","3.25","2.46","3.7","4.66","5.44","6.22","3.35","0.15","0.32","0.24","0.5","60.5","103.2","148.5","182.2","228.1","284.9","341.9","405.3","482.2","595.3","695.4","",""
"Rainbow","RA","2020-02-10","RA-335","Edmonton","824.5","40","0.42","2.4","5.4","7.4","0.75","4.24","3.45","5.12","6.18","6.59","6.35","2.89","0.17","0.35","0.2","0.6","0.45","3","2.63","4.12","5.15","5.65","5.56","2.57","0.18","0.37","0.21","0.63","","","","","","","","","","","","",""
"Rainbow","RA","2020-01-02","RA-324","Edmonton","826","39.7","0.4","2.4","2.6","5.5","0.77","5.07","3.4","5.13","6.37","6.93","6.53","3.02","0.18","0.41","0.23","0.65","0.46","3.58","2.59","4.12","5.3","5.92","5.7","2.68","0.19","0.43","0.24","0.68","","","","","","","","","","","","",""
"Rainbow","RA","2019-12-08","RA-314","Edmonton","824.8","39.9","0.44","2.3","5.5","8","0.65","4.5","3.27","5.08","6.29","6.9","5.88","2.76","0.2","0.51","0.25","0.77","0.39","3.18","2.49","4.08","5.24","5.91","5.14","2.45","0.21","0.54","0.26","0.81","55","81.3","138.1","183.2","235.8","292.5","352","417.9","495.6","615.3","","",""
