"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Secure Sask Light","MSE","2021-01-04","MSE-051","Kerrobert","834.3","37.9","0.17","2","3.3","1.7","0.33","6.03","2.47","4.39","5.68","5.78","4.83","2.39","0.01","0.15","0.12","0.48","0.2","4.2","1.86","3.49","4.68","4.89","4.18","2.1","0.01","0.16","0.13","0.5","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-12-01","MSE-136","Kerrobert","834.2","38","0.17","2.2","3.1","1.4","0.35","6.07","2.86","4.54","5.67","5.75","4.76","2.45","0.02","0.12","0.12","0.43","0.21","4.23","2.15","3.61","4.67","4.87","4.12","2.15","0.02","0.13","0.13","0.45","35.6","105.1","160.3","216.4","270.4","322.3","378.6","434.6","512","619.8","709.7","",""
"Secure Sask Light","MSE","2020-11-01","MSE-280","Kerrobert","834.3","37.9","0.17","2.1","2.4","1.2","0.35","6.05","2.8","4.46","5.57","5.66","4.81","2.25","0.02","0.14","0.12","0.47","0.21","4.22","2.11","3.55","4.59","4.79","4.16","1.98","0.02","0.15","0.13","0.49","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-10-02","MSE-350","Kerrobert","835.1","37.8","0.17","2.1","2.9","1.4","0.3","5.64","2.76","4.43","5.52","5.58","4.78","2.15","0.02","0.14","0.12","0.44","0.18","3.93","2.08","3.52","4.54","4.72","4.13","1.89","0.02","0.15","0.13","0.46","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-09-03","MSE-038","Kerrobert","833.2","38.2","0.17","2.1","2.9","1.4","0.33","5.84","2.94","4.46","5.52","5.6","4.62","2.1","0.03","0.15","0.12","0.53","0.2","4.08","2.22","3.55","4.55","4.75","4","1.85","0.03","0.16","0.13","0.55","34.1","74.1","140.5","206.7","263.8","315.4","372.2","429","501.9","598.7","667.5","",""
"Secure Sask Light","MSE","2020-08-03","MSE-300","Kerrobert","832.4","38.3","0.17","2.1","2.9","1.5","0.4","6.33","3.25","4.68","5.74","5.81","5.09","2.15","0.03","0.16","0.13","0.49","0.24","4.43","2.45","3.73","4.74","4.93","4.41","1.89","0.03","0.17","0.14","0.51","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-07-04","MSE-222","Kerrobert","833.2","38.2","0.17","2","3","1.5","0.46","5.79","2.97","4.48","5.53","5.6","4.75","2.17","0.02","0.16","0.12","0.5","0.28","4.05","2.24","3.57","4.56","4.75","4.11","1.91","0.02","0.17","0.13","0.52","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-03-03","MSE-161","Kerrobert","839.7","36.9","0.38","2.6","6.7","9.7","0.32","5.15","3","4.08","5.01","5.04","4.82","2.24","0.02","0.06","0.11","0.24","0.19","3.57","2.24","3.22","4.1","4.24","4.14","1.96","0.02","0.06","0.11","0.25","74.3","107.5","167.5","225.5","279","329.2","381.6","435.9","508.8","601.6","665.1","",""
"Secure Sask Light","MSE","2020-02-02","MSE-003","Kerrobert","846.4","35.5","0.52","3","7.6","13.5","0.34","5.36","2.8","3.98","4.97","5","4.53","2.07","0.02","0.1","0.07","0.29","0.2","3.69","2.08","3.12","4.04","4.17","3.86","1.79","0.02","0.1","0.07","0.3","","","","","","","","","","","","",""
"Secure Sask Light","MSE","2020-01-07","MSE-276","Kerrobert","840.4","36.7","0.42","2.7","6.4","9.9","0.37","5.6","3.19","4.33","5.26","5.24","4.65","2.01","0.02","0.1","0.1","0.34","0.22","3.88","2.39","3.42","4.3","4.41","3.99","1.75","0.02","0.1","0.1","0.35","","","","","","","","","","","","",""
